叶型库8-PCA5维优化结果    叶型库8-KPCA5维优化结果
1.676454407013361347e-01    1.664228555390883657e-01
4.780404276166419497e-02    4.748012349866305437e-02
1.682450850078522353e-01    1.670177580576953369e-01
4.776301949262239110e-02    4.744085927598044178e-02
1.688272361040115688e-01    1.675953618257792488e-01
4.771860279338051292e-02    4.739761901220294199e-02
1.693915323156418296e-01    1.681553176204879929e-01
4.767131144312980462e-02    4.735095854732739029e-02
1.699376160197805241e-01    1.686972776908694238e-01
4.762167163213669452e-02    4.730145041119792476e-02
1.704651135672388962e-01    1.692208736625839816e-01
4.757021445663947579e-02    4.724968105824366160e-02
1.709736785066360287e-01    1.697257593330797898e-01
4.751746435334312790e-02    4.719623644185448608e-02
1.714629458570205989e-01    1.702115682528433094e-01
4.746393803411033674e-02    4.714169883375227826e-02
1.719325690585800370e-01    1.706779490349099315e-01
4.741014079183344943e-02    4.708664066414951915e-02
1.723821963200538876e-01    1.711245433088589285e-01
4.735655749409573012e-02    4.703161490933991523e-02
1.728114742582463892e-01    1.715509889284553280e-01
4.730365593615630526e-02    4.697715398503123085e-02
1.732200842242218597e-01    1.719569586655182170e-01
4.725187107908894457e-02    4.692375440522245089e-02
1.736076745190807957e-01    1.723420908715114497e-01
4.720162038405795180e-02    4.687188906200499133e-02
1.739739181221660325e-01    1.727060507849961235e-01
4.715328610442252877e-02    4.682198887324751785e-02
1.740581795268236198e-01    1.727897855174152786e-01
4.714571530944994260e-02    4.681406672858925283e-02
1.741427531565722386e-01    1.728738223511539496e-01
4.714534329090075415e-02    4.681336473641264928e-02
1.742270502625235806e-01    1.729575760556459896e-01
4.715217402705444705e-02    4.681988982024502116e-02
1.743104639170114101e-01    1.730404442784887753e-01
4.716616425322207873e-02    4.683360083260880435e-02
1.743924117380952210e-01    1.731218491477273524e-01
4.718721557918993670e-02    4.685439998348927410e-02
1.744723272561936600e-01    1.732012285769981286e-01
4.721517509244910205e-02    4.688213381808942898e-02
1.745496288342243962e-01    1.732780048454455601e-01
4.724984723563109557e-02    4.691660486702609045e-02
1.746237743704631140e-01    1.733516433149282776e-01
4.729098047156823914e-02    4.695755870142646199e-02
1.746942512112190649e-01    1.734216353981603287e-01
4.733827774473489680e-02    4.700469382049739242e-02
1.747605599349842664e-01    1.734874885251009025e-01
4.739139695840662025e-02    4.705766310853670698e-02
1.748222257654013234e-01    1.735487338215065678e-01
4.744995276430528930e-02    4.711607472318255635e-02
1.748788245193753921e-01    1.736049504931042042e-01
4.751351990634357370e-02    4.717949652912783315e-02
1.749299444230757727e-01    1.736557334140070574e-01
4.758163892342547052e-02    4.724746149231114078e-02
1.749752373285157758e-01    1.737007420095646459e-01
4.765381270169882777e-02    4.731946469104825886e-02
1.750143806961725057e-01    1.737396547273132863e-01
4.772951772073731613e-02    4.739497469432914917e-02
1.750471025105862777e-01    1.737722064342363537e-01
4.780820453047390783e-02    4.747343465811153934e-02
1.750731618342971085e-01    1.737981597653626975e-01
4.788930611042299668e-02    4.755427077771153671e-02
1.750923953541340394e-01    1.738173540649797233e-01
4.797223239126915950e-02    4.763688708296204277e-02
