叶型库11-PCA10维优化结果0.0249    叶型库11-KPCA10维优化结果0.0228
1.321727062028788535e-01    1.425854800921435295e-01
5.445716304823763204e-02    4.712923640735421082e-02
1.330323698432470669e-01    1.435842158700757765e-01
5.474263759095973625e-02    4.730081485922162793e-02
1.338570187842049730e-01    1.445422514870022546e-01
5.501234769217398790e-02    4.746814997248659240e-02
1.346566966248869679e-01    1.454574370757580060e-01
5.526880132156083286e-02    4.763138507970962610e-02
1.354461759388389808e-01    1.463519897574584172e-01
5.551629894011531063e-02    4.779860343722467514e-02
1.361942800063629111e-01    1.471753278179364077e-01
5.574202962676404888e-02    4.795278945365001599e-02
1.367619700234879720e-01    1.478859388640273720e-01
5.597544032963366195e-02    4.813595676354776032e-02
1.373438579512423763e-01    1.485693966487688367e-01
5.619550024394779492e-02    4.831745942840051655e-02
1.378887606618746653e-01    1.491049040883883625e-01
5.637236341600265072e-02    4.845946459383607130e-02
1.383397385545973302e-01    1.495838915698096128e-01
5.650360161621300475e-02    4.858014703409335722e-02
1.387649872691014141e-01    1.500306191021606728e-01
5.661844148388955195e-02    4.868938621506724990e-02
1.391582582884397790e-01    1.504430023778834669e-01
5.671803813406819939e-02    4.878440926960493640e-02
1.395182050305332766e-01    1.508195972779748928e-01
5.680252554386414771e-02    4.886541753107487285e-02
1.398437487143569524e-01    1.511590823711198572e-01
5.687195418238499139e-02    4.893250317784324926e-02
1.401342519821228150e-01    1.514609963569245321e-01
5.692607013592022869e-02    4.898519250867259395e-02
1.403896537773984543e-01    1.517254383636688631e-01
5.696436239066544199e-02    4.902277608631432082e-02
1.407716360867572736e-01    1.521210419147477622e-01
5.702461514832739969e-02    4.908217572648334442e-02
1.408674171125237906e-01    1.522178526014221767e-01
5.700304008947097018e-02    4.906035677996677807e-02
1.409527159944952701e-01    1.523033426630295284e-01
5.697559082169882660e-02    4.903277029696775924e-02
1.410272346049195602e-01    1.523772647927391366e-01
5.694256848810138466e-02    4.899972794450473818e-02
1.410906323035565901e-01    1.524391491701896639e-01
5.690433684986627438e-02    4.896164499282803367e-02
1.411425242169871974e-01    1.524886122024612101e-01
5.686128850103253085e-02    4.891899307327041146e-02
1.411825377397939174e-01    1.525252555514068353e-01
5.681386229176327296e-02    4.887230676448507671e-02
1.412095770737514799e-01    1.525479661965743194e-01
5.671022403667712319e-02    4.878271805345354983e-02
7.521710119759139265e-03    2.229534380688974471e-02
-4.911351171253221020e-04    4.767796823408657590e-03
7.649456818350368163e-03    2.239611521385424103e-02
-5.344125250473522265e-04    4.720689285689878140e-03
7.761031403021726068e-03    2.248640362855533828e-02
-5.057042988058644325e-04    4.730259328346948268e-03
7.870462540759241149e-03    2.257497510786780903e-02
-4.507867474831134410e-04    4.759523568422655178e-03
7.970762766313702757e-03    2.265631504730315771e-02
-3.859119653934338801e-04    4.796679073892898618e-03
8.060785845673745439e-03    2.272950649610840784e-02
-3.198238210997350834e-04    4.835290337037807286e-03
8.242983881925626879e-03    2.287183827280253601e-02
-1.653910277981304722e-04    4.937739196612280293e-03
8.982484535994509842e-03    2.343279330534238716e-02
4.368107421879408665e-04    5.368359338664947279e-03
9.872502301405034625e-03    2.408149156622830731e-02
1.055748780574844578e-03    5.805909829004383092e-03
1.082787584043516660e-02    2.477996050458143584e-02
1.693261471159108848e-03    6.271863708189341288e-03
1.186602383199995836e-02    2.553433607458854837e-02
2.375247563257866599e-03    6.774592724534620088e-03
1.298006435646055327e-02    2.634093451215803114e-02
3.119019405789269159e-03    7.323684500648991458e-03
1.416479807578574848e-02    2.719725405250386641e-02
3.935546545722657871e-03    7.924514723164407387e-03
1.542085657462837281e-02    2.810869560219884933e-02
4.830114869785277591e-03    8.580488778119534782e-03
1.677464244578295155e-02    2.913068128605351276e-02
5.811141613156609390e-03    9.309837535476688658e-03
1.819365694239188924e-02    3.009024288583764944e-02
6.859192636617595512e-03    1.003632614553889163e-02
1.963362574308555666e-02    3.115303008306107707e-02
7.930586607266263202e-03    1.081703006705927832e-02
2.111537559327830021e-02    3.228191301455824586e-02
9.015343684495483179e-03    1.162223768499798596e-02
2.264407963993845391e-02    3.347270241722904299e-02
1.010918862919355996e-02    1.244626889880720393e-02
2.422836793728713745e-02    3.473483863569576391e-02
1.120872668072048391e-02    1.328888722942185921e-02
2.589075254114928115e-02    3.610460412963742427e-02
1.231786992558533272e-02    1.415978194604032916e-02
2.759203041782803262e-02    3.752892924801597141e-02
1.341866768207918351e-02    1.503911104756007477e-02
2.936171455738453145e-02    3.890571411624169085e-02
1.451699872350889833e-02    1.587543049735452849e-02
3.115316969047005058e-02    4.037575604034629451e-02
1.559000448575656103e-02    1.673124521748993454e-02
3.298218078398809650e-02    4.191461450792303284e-02
1.664511795485060924e-02    1.759436711826188604e-02
3.486752107096114522e-02    4.352289370697874638e-02
1.769242495196532775e-02    1.846483860992189849e-02
3.683673936073190991e-02    4.524945489949651345e-02
1.874557423112814536e-02    1.936066229617414841e-02
3.884002440949497342e-02    4.702782187529946922e-02
1.978862383434172589e-02    2.025690252203499533e-02
4.085280578100251858e-02    4.878242254526478361e-02
2.080010586613136384e-02    2.111791622306713120e-02
4.296423417651547283e-02    5.052733641580613166e-02
2.183107095389794083e-02    2.194975049500637321e-02
4.507131735943972761e-02    5.239766620735411551e-02
2.283042524170737775e-02    2.281139012340512029e-02
4.721792523183560020e-02    5.427927531091840396e-02
2.382234315273963274e-02    2.365080388859755467e-02
4.944533646320672937e-02    5.632075119812247899e-02
2.482762312379474187e-02    2.453234039250226650e-02
5.164760437744240346e-02    5.830708360966099790e-02
2.579739827782403724e-02    2.536350853665656629e-02
5.393637272914368619e-02    6.044104532191610368e-02
2.679326072896755923e-02    2.623075582818111887e-02
5.620280463421784001e-02    6.251261129496077373e-02
2.774711785854817869e-02    2.703920685287861461e-02
5.858762082024583651e-02    6.459407425963582805e-02
2.873670427131334512e-02    2.782196323507612687e-02
6.091068533075570668e-02    6.674355960819343403e-02
2.967123565137209235e-02    2.859991437498902653e-02
6.332764912924676581e-02    6.904656647221892041e-02
3.062792953795885967e-02    2.941106524681554729e-02
6.571150107817443076e-02    7.125247655734093244e-02
3.154579698533599430e-02    3.014738620311990455e-02
6.809572051060847064e-02    7.350121820866448163e-02
3.244208257047560828e-02    3.087218406711720459e-02
7.057245810206980163e-02    7.591240276109377516e-02
3.336940661714315332e-02    3.163759118129751829e-02
7.299912099447782021e-02    7.824215491916247656e-02
3.424346559055405775e-02    3.233818514743256461e-02
7.550840249879831045e-02    8.052724850180859040e-02
3.513732772211229649e-02    3.298994365224575120e-02
7.801250402244694349e-02    8.300862941167401476e-02
3.600462111181491898e-02    3.369250663539061913e-02
8.043888300879477316e-02    8.537572738771445624e-02
3.681291000350539466e-02    3.431520579504757779e-02
8.286345249198345808e-02    8.775827217478281150e-02
3.759992754053412267e-02    3.491335755003459329e-02
8.540007634559181049e-02    9.030036482900938299e-02
3.842933406726328771e-02    3.555100677142904869e-02
8.783161364906465207e-02    9.273825683687450527e-02
3.918443715023479934e-02    3.611423966647093337e-02
9.022968215328845687e-02    9.514977988937174669e-02
3.990970787731523695e-02    3.663766479100023093e-02
9.280128171388095371e-02    9.768617390236419840e-02
4.070915287204800170e-02    3.719068787606134852e-02
9.516401818048908501e-02    1.000917472471132691e-01
4.139719545656600497e-02    3.766717546228662283e-02
9.751015232374886377e-02    1.024785723163558482e-01
4.206897342925967898e-02    3.812323553199432891e-02
9.985477744632413610e-02    1.048755902368498361e-01
4.273293531604216433e-02    3.857416034949515127e-02
1.022902035277154925e-01    1.073830845634100584e-01
4.343933940181691350e-02    3.906477339737204901e-02
1.045589377058156050e-01    1.096958139727408355e-01
4.405341900797372229e-02    3.946048288810195814e-02
1.067905312890532060e-01    1.119757007517726555e-01
4.464467696620722653e-02    3.983598772722361792e-02
1.090718898898459244e-01    1.143711699384359765e-01
4.525634174444900792e-02    4.025662710023433788e-02
1.113247721963757098e-01    1.165732754011108985e-01
4.585268689958037214e-02    4.059520367320269829e-02
1.134302887030322199e-01    1.187642580000732584e-01
4.637957825240682924e-02    4.093155871720692562e-02
1.155858478400849515e-01    1.210560302500044982e-01
4.693792344340258493e-02    4.131689844903825570e-02
1.175422483171931487e-01    1.231073336745802937e-01
4.740230592271563181e-02    4.160554416404264183e-02
1.189951509842622490e-01    1.247629540334870835e-01
4.780917244918370113e-02    4.185596403343622152e-02
1.200595284058476458e-01    1.262206102907590666e-01
4.820852183274820790e-02    4.214733640841997198e-02
1.210275156682545233e-01    1.275156035756245532e-01
4.856232064679223692e-02    4.237511629072560765e-02
1.221214122818594511e-01    1.288465930478153720e-01
4.897592038265222159e-02    4.262428125220553421e-02
1.230759637849447169e-01    1.301152765709978065e-01
4.932383156002723840e-02    4.285277824427137505e-02
1.241565696218585452e-01    1.315489790565011752e-01
4.973433781923571745e-02    4.315951949083041139e-02
1.250922552012313227e-01    1.327810206511892965e-01
5.007299911333776277e-02    4.338643652576631288e-02
1.261040825108513119e-01    1.341353653981095795e-01
5.044697757187745213e-02    4.367106884002492501e-02
1.270267039063676939e-01    1.353220596571744760e-01
5.077896964711581945e-02    4.389346638722215616e-02
1.279418496587598486e-01    1.365162246178982242e-01
5.110806857662705815e-02    4.412967427660970110e-02
1.289210808886581405e-01    1.376777059269903292e-01
5.146669147992213172e-02    4.435794873061792154e-02
1.297823302503153808e-01    1.387881451674670974e-01
5.177073090514098391e-02    4.457564996753227149e-02
1.307477386295885780e-01    1.400303499946921604e-01
5.212618167978747691e-02    4.485999629644112086e-02
1.316456041212654693e-01    1.412000758493765218e-01
5.244830830463203392e-02    4.512174237063810989e-02
1.324615132396950168e-01    1.422356446639271854e-01
5.273339516173439212e-02    4.533994644286418185e-02
1.332385905462110109e-01    1.432083683789406592e-01
5.300112834125494943e-02    4.554190154643196486e-02
1.340024503041034598e-01    1.441446338085926593e-01
5.326379588244659069e-02    4.573947859503114943e-02
1.348119435726068682e-01    1.450662994285831509e-01
5.354972435937152553e-02    4.594229669923274861e-02
1.356171266788911978e-01    1.460518651845231497e-01
5.383589864193336072e-02    4.618886363843267839e-02
1.363539281906578915e-01    1.469552113414079320e-01
5.409026789400132179e-02    4.641345887813179416e-02
1.370164993640647921e-01    1.477316935706742274e-01
5.431162392129960242e-02    4.660132961368149834e-02
1.374786653239755685e-01    1.483175988070194184e-01
5.451850999207524806e-02    4.677732144291871230e-02
1.379306163038960531e-01    1.488626221811288342e-01
5.472050544702523889e-02    4.695379440650458702e-02
1.383753332999528851e-01    1.493612652180138778e-01
5.491820944839671814e-02    4.713270999479313161e-02
1.388456422193376505e-01    1.498451800376232879e-01
5.513429990465500141e-02    4.730971491999969719e-02
1.393409818985132664e-01    1.504248720802603689e-01
5.536239766632455178e-02    4.753687465096297082e-02
1.396999719479686264e-01    1.508247757724192339e-01
5.553142361262765336e-02    4.769357622518338030e-02
1.400166444934403120e-01    1.511756873823334457e-01
5.568601924964608485e-02    4.783415548203615031e-02
1.402983214513203458e-01    1.514898164060820840e-01
5.583088558194146400e-02    4.796564442966366054e-02
1.405432651882609907e-01    1.517647708859396483e-01
5.596630632232905966e-02    4.808854814823915191e-02
1.407501907687893905e-01    1.519987040465165529e-01
5.609244631779455176e-02    4.820326802162534785e-02
1.410262664607674632e-01    1.523120638314572339e-01
5.628114977176727762e-02    4.837853252336538068e-02
1.410891744583118168e-01    1.523856622306244413e-01
5.634769107412444800e-02    4.843946418848801838e-02
1.411400505049709986e-01    1.524462124816017283e-01
5.641293568418923043e-02    4.849980501949870126e-02
1.411787713786847587e-01    1.524935107687873104e-01
5.647661532496441039e-02    4.855932206139096374e-02
1.412051741353455014e-01    1.525274281425600398e-01
5.653846885649100457e-02    4.861769790176034833e-02
1.412191369063233448e-01    1.525478578746349845e-01
5.659824801228197089e-02    4.867464172650020487e-02
1.412206348442019421e-01    1.525547438075668671e-01
5.665560089386682124e-02    4.872977826410836155e-02
1.412095771410075418e-01    1.525479664883762354e-01
5.671022452272526243e-02    4.878272452769037704e-02
